,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,latitude,longitude,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,precip,humidity,visibility,cloudcover,heatindex,season,household,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,cyber_cafe,school,college,cinema,crime
0,7,29,wednesday,0,morning,23.77456936,90.35529228,adabar,dhaka,dhaka,30,28,26,356,6.1,88,10,80,32,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
1,1,2,wednesday,0,night,23.77456936,90.35529228,adabar,dhaka,dhaka,27,23,16,113,0.0,54,10,6,22,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
2,1,4,tuesday,0,night,23.769808,90.351595,adabor,dhaka,dhaka,32,26,19,113,0.0,43,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
3,3,9,friday,1,night,23.728907,90.417137,aftabnagar,dhaka,dhaka,35,30,24,113,0.0,52,10,4,30,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
4,8,34,thursday,0,night,23.847177,90.4041325,airport,dhaka,dhaka,34,32,28,359,21.9,71,9,39,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
5,8,34,thursday,0,night,23.847177,90.4041325,airport,dhaka,dhaka,34,32,28,359,21.9,71,9,39,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
6,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
7,1,1,saturday,1,evening,23.913894,90.320686,ashulia,dhaka,dhaka,29,23,18,116,0.0,49,10,12,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
8,1,2,friday,1,evening,23.913894,90.320686,ashulia,dhaka,dhaka,26,22,15,113,0.0,40,10,0,21,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
9,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
10,11,46,monday,0,morning,23.913894,90.320686,ashulia,dhaka,dhaka,32,28,24,113,0.0,57,10,1,29,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
11,11,45,sunday,0,morning,23.913894,90.320686,ashulia,dhaka,dhaka,34,29,24,113,0.0,54,10,0,30,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
12,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
13,2,7,saturday,1,morning,23.913894,90.320686,ashulia,dhaka,dhaka,28,24,21,116,0.0,52,10,18,25,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
14,9,36,friday,1,night,23.913894,90.320686,ashulia,dhaka,dhaka,35,32,28,356,7.8,73,9,39,37,rainy,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
15,6,23,monday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,34,32,28,386,2.6,72,10,27,37,rainy,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
16,4,14,sunday,0,morning,23.913894,90.320686,ashulia,dhaka,dhaka,43,37,27,113,0.0,55,10,4,38,hot,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
17,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
18,7,31,monday,0,evening,23.793708,90.453284,badda,dhaka,dhaka,35,33,29,356,10.3,70,9,44,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
19,5,19,tuesday,0,night,23.793708,90.453284,badda,dhaka,dhaka,36,33,28,386,2.3,71,10,45,38,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
20,9,37,sunday,0,noon,23.793708,90.453284,badda,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
21,8,31,thursday,0,night,23.793708,90.453284,badda,dhaka,dhaka,33,31,26,386,2.1,78,10,37,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
22,1,3,thursday,0,night,23.793708,90.453284,badda,dhaka,dhaka,30,25,18,113,0.0,51,10,0,24,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
23,7,31,monday,0,evening,23.793708,90.453284,badda,dhaka,dhaka,35,33,29,356,10.3,70,9,44,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
24,7,29,saturday,1,night,23.793708,90.453284,badda,dhaka,dhaka,35,32,28,353,1.1,73,10,40,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
25,4,16,sunday,0,afternoon,23.793708,90.453284,badda,dhaka,dhaka,35,32,27,356,12.3,69,9,42,37,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
26,3,12,monday,0,night,23.793708,90.453284,badda,dhaka,dhaka,34,30,24,176,1.2,42,10,19,29,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
27,11,44,saturday,1,night,23.716838,90.405322,bangshal,dhaka,dhaka,24,24,23,302,28.0,94,8,76,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
28,1,4,monday,0,night,23.81851,90.41513,baridhara,dhaka,dhaka,31,27,21,113,0.0,44,10,0,27,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
29,1,1,saturday,1,evening,23.913894,90.320686,ashulia,dhaka,dhaka,29,23,18,116,0.0,49,10,12,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder
30,1,4,tuesday,0,night,23.784506,90.403409,bhasantek,dhaka,dhaka,32,27,21,113,0.0,43,10,0,27,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
31,6,26,wednesday,0,night,23.728907,90.417137,bhatara,dhaka,dhaka,36,33,29,119,0.0,69,10,39,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
32,3,9,sunday,0,night,23.765913,90.426541,banasree,dhaka,dhaka,36,31,24,116,0.0,48,10,11,31,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
33,8,34,friday,1,night,23.716838,90.405322,bongshal,dhaka,dhaka,34,32,28,353,7.9,73,10,34,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
34,10,40,sunday,0,night,23.7268465,90.3922105,bangladesh university of engineering and technology,dhaka,dhaka,33,31,27,176,4.4,74,10,27,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
35,5,21,monday,0,night,23.81039,90.406568,cantonment,dhaka,dhaka,32,31,27,359,35.7,77,7,22,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
36,11,46,tuesday,0,morning,23.717677,90.394341,chawkbazar,dhaka,dhaka,32,29,25,113,0.0,60,10,1,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
37,6,24,saturday,1,noon,23.728907,90.417137,uttarkhan,dhaka,dhaka,37,33,29,386,13.9,77,9,17,41,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
38,1,3,tuesday,0,night,23.865506,90.413772,dakkhinkhan,dhaka,dhaka,27,24,20,113,0.0,49,10,1,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
39,8,34,thursday,0,night,23.785337,90.342439,darus salam,dhaka,dhaka,34,32,28,359,27.2,71,8,38,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
